PRV_ID,PRV_NAME_EN
1,Krabi
2,Bangkok
3,Kanchanaburi
4,Kalasin
5,Kamphaeng phet
6,Khon kean
7,Chanthaburi
8,Chachoengsao
9,Chon buri
10,Chai nat
11,Chai yaphum
12,Chum phon
13,Chiang rai
14,Chiang mai
15,Trang
16,Trat
17,Tak
18,Nakhon nayok
19,Nakhon pathom
20,Nakhon phanom
21,Nakhon ratchasima
22,Nakhon si thammarat
23,Nakhon sawan
24,Nonthaburi
25,Narathiwat
26,Nan
27,Buri ram
28,Pathum thani
29,Prachuap khiri khan
30,Prachinburi
31,Pattani
32,Ayutthaya
33,Phayao
34,Phangnga
35,Phatthalung
36,phichit
37,Phitsanulok
38,Phetchaburi
39,Phetchabun
40,Phrae
41,Phuket
42,Mahasarakham
43,Mukdahan
44,Mae hong son
45,Yasothon
46,Yala
47,Roi et
48,Ranong
49,Rayong
50,Rachaburi
51,Lopburi
52,Loei
53,Lampang
54,Lamphun
55,Srisaket
56,Sakonnakhon
57,Songkhla
58,Satun
59,Samutprakan
60,Samut songkhram
61,Samut sakhon
62,Sra kaeo
63,Saraburi
64,Singburi
65,Sukhothai
66,Suphanburi
67,Surat thani
68,Surin
69,Nongkhai
70,Nongbualamphu
71,Angthong
72,Amnatcharoen
73,Udonthani
74,Uttaradit
75,Uthaithani
76,Uboratchathani
